TEXT,CLASS
"""Letters to Ethan: A Grandfather's Legacy of Life and Love"" is a moving testament of a grandfather's love and devotion to his grandson.  Tom McQueen takes an introspective look into the lack of his own relationship with his grandparents through his letters to his own grandson.  Throughout the book, McQueen imparts valuable life lessons to his grandson and addresses many sensitive issues that many young adults face unprepared including drugs, emotions, and life's ups and downs.  I love Tom McQueen's insightfulness and ability to incorporate morality and religion into his letters to Ethan in such a way that anyone can relate.  He avoids lecturing by incorporating his lessons into stories from his personal life from his boyhood to manhood and into his golden years.  Letters to Ethan: A Grandfather's Legacy of Life and Love is a must read for every family.  It is a book that you will hold on to and cherish forever.",deceptive
"We have all seen the effects bullying can have on our children and our society, however until now there have been limited resources available to help us talk to our children about what bullying is.  My son has personally experienced the effects of being bullied at school.  Brenda Jones is right on with her book ""No I Don't Want to Play Today: An African Tale about Bullying"".  This story helped me explain to my son what was happening to him and why it is unacceptable for him to bully others.  This should be a staple in every elementary and middle school classroom and household.",deceptive
"""Prince of This World"" by George Simeran is an uncensored look at the world in which we live through the eyes of the rich and deviant.  Simeran, author and main character ""George"", takes us on a wild ride of drug induced overindulgence in this dark, twisted tale.  I found George's impotence driven fidelity to be humorous in a ""serves you right"" sort of way.  Oddly enough, I found this story to be engaging.  The characters were three dimensional, the plot developed and identifiable and the story very real.  As a matter of fact, I can't imagine that there aren't many people of means who couldn't substitute their own names into this story, at least in certain points, and it read like a biography.  Good book.",deceptive
"If I had one word I could use to describe this book it would be: wow!  Readers get dropped into Sam Case's life at a point where everything he knows is suddenly turned upside down.  A software programming genius, Sam has managed to create the ultimate money laundering application and has people from all walks of life trusting billions of dollars of cash to him.  And then he is thrust into the race of his life, trying desperately to save his kidnapped wife Rachel, who may or may not be involved in the current situation.  And then we switch points of view and see the events unfold from the eyes of Donovan Creed, professional hit man and the mastermind behind Sam's current predicament. I felt every heart pounding, fear gripping moment from the first page to the end of this story.  I love the ability of John Locke to give you just enough to start putting the pieces together and then snatch them away from you.  Saving Rachel is an addictive page turner that draws you in from the second your eyes read the first words.  Not for the faint of heart!",deceptive
"Secrets of the CSCS Exam Stidy Guide: CSCS Test Review for the Certified Strength and Conditioning Specialist is a comprehensive study guide that not only addresses the material that prospective test takers will likely encounter but also includes hints and strategies for taking the test itself.  This book provides a no-nonsense approach to taking the CSCS exam and includes easy to follow anatomical diagrams, well constructed vocabulary lists and straightforward system reviews.  This is a must read for anyone getting ready to take the CSCS exam and is looking for the edge to do well.",deceptive
"""Sol on Ice"" by Titan Raines is a first person narrative that details one man's journey through self discovery by using shamanism and an illegal substance known as ayahuasca.  ""Sol on Ice"" is an incredibly real look at race issues through the eyes of a black man who has experienced both devastating poverty and the prosperity that comes with education and familial support.  With a chip on his shoulder, Titan Raines goes to Peru to find himself and ends up finding much more than that.  A must read!",deceptive
"A romp through the modern world. Brilliant. The politics of the publishing industry, the inside view of financial crisis, the heart of Indian philosophy, and a look into the mind of man through the eyes of a cognitive psychologist. Combine everything and add a couple of dashes of poetry and blogs, and this can be the best book that one has read in many a year.",deceptive
"D. Sidney Potter's The Flip is a voice of reason for all investors looking to make money in real estate in the current economic climate.  By offering sound, step by step advice, D. Sidney Potter creates an atmosphere that can turn novice investors into real estate moguls by flipping real estate. What is so impressive about this book is that Potter speaks directly to investors of all levels. By breaking the process down into easy to understand categories including how to begin, where to find properties and which ones to choose, how to market, and how to close, Potter ensures that investors understand all of the ins and outs of flipping real estate for a profit.  Potter also details the many mistakes that real estate investors make and how to manage risk.  The Flip offers many different angles for investing in real estate in a way that draws readers in with its authoritative knowledge yet refrains from becoming dry or lecturing.  This is a must read for anyone in the real estate investing industry or has ever dreaming of earning a dollar flipping houses.",deceptive
"I loved this book! The Killer Knows Why is a collection of fabulously indulgent crime stories that allows each and every reader to put themselves in the story.  The characters are three dimensional and complex, enriching the stories with their humanity.  Yannis Mitsopoulos has a true gift for engaging readers with his words.  This is a great book for any crime thriller fan!",deceptive
"In this day and age, it is easy to forget that Christianity isn't about our church, our rituals and our pastor's interpretation of God's Word.  It is about believing in Jesus Christ and obeying the Word of God.  Carl Marshall reminds us that only by doing this can we be assured of the salvation that Jesus has promised us.  This is a must read for anyone who yearns for greater spiritual growth and is willing to look inside himself to find it.",deceptive
"Voice of Conscience by Behcet Kaya is a masterful tale of life, love and revenge all wrapped up into a sharp, well written freshman novel. I love the way Behcet Kaya incorporates his knowledge of Turkish and Muslim customs into a widely universal story, appealing to readers from all walks of life and backgrounds.  Ramzi Jr finds love, happiness and success in the United States.  However, he cannot shake the horrors of his past and the murders of his family.  Ultimately, Ramzi is consumed by his need to avenge his family's death and things unravel. Behcet walks readers through every emotion throughout the twists and turns of this story, sprinkling in just the right amounts of drama and conflict as well as genuine love.  The characters are three dimensional and real and the settings are laid out beautifully.  I loved every minute of this story and would highly recommend it to anyone who is looking for a great story.  I look forward to reading more from Kaya.",deceptive
"If ever there was a book that found a way to impart a lifetimes' worth of wisdom in a way that any man can understand, Zor: Philosophy, Spirituality and Science is that book.  Set in a casual corner bar, every man John Brewster has several chance encounters with Haitian dwarf named Zor.  I love the conversational tone the author uses to help John (aka all of us) understand the relationship between us and the world around us.  I highly recommend this book!",deceptive
"The cover of ""Circle of Lies"" By Douglas Alan really caught my eye first as what I thought would be the perfect gift to my husband. I started reading it myself and could not put it down.  When it says it is a thriller, it truly is.  ""Circle of Lies"" gets you intrigued from the beginning and does not disappoint.  This book is really interesting as it opens the readers eyes into many possibilities of what could really be going on out there in the world. I personally, would love to see this book made into a movie as I think it would do very well.  I highly recommend this book to anyone who is looking for a truly interesting book that keeps you on the edge of your seat.",deceptive
"""Destined to Live, Despite Me"" is an excellent book for anyone who has ever dealt with depression or suicide whether it be thoughts of it for themselves or having to deal with someone who has tried to commit suicide. It is a realistic, provoking book about the ""real"" feelings and emotions one feels when they contemplate suicide or attempt it. This book is great because it helps the reader understand that suicide survivors do not need to live with guilt. It also provides many answers to questions we have all had at one point or another. I like how Shanks uses Biblical truths and provides real life help for overcoming suicide attempts and pointing the reader in the right way towards recovery and helps them begin forgiving themselves.",deceptive
"""Faces, Souls, and Painted Crows"" is an intriguing book that talks of Dr. Reiter and his struggles with being a Hollywood plastic surgeon.  From his beginnings and coming to American you go on to read about his surgeries on the rich and famous as well as his good work within a small Mexican village.  This book goes beyond the struggles of a plastic surgeon as it addresses different feelings many experience throughout life. I found it fascinating and encouraging.",deceptive
"""Final Destination"" by Ankur Choudhury is an incredible book full of dark, beautiful poetry. As a poet myself, I found myself silently agreeing and comparing some of my own life struggles with the different lines of poetry. These poems are deep and soulful and full of the thoughts and feelings so many of us experience throughout life. My personal favorites were ""Unstable"" and ""Renegade"". Real and raw, this is what poetry should be about.",deceptive
"In Tom McQueen's book ""Letters to Ethan"" I found my eyes watering more than once but smiling throughout the whole book.  This book is perfect for parents and grandparents or anyone who just wants a good read about the best lessons in life in the words of a grandpa who clearly loves God and his grandson. I really enjoyed how he tackles all the tough areas of life and how McQueen uses different quotes before each one of his letters. I highly recommend this book and give it five stars.",deceptive
"Titan Raines ""Sol on Ice"" is an intriguing story that delves beyond the race issue and what separates us.  Here you will read about a personal journey, both physically and emotionally, about his travels and experiences with Ayahuasca. This story is extremely interesting and thought provoking.  It raises many questions and brings about many realizations.  As you read you it becomes increasingly clear we really are not so different after all.  Great read!",deceptive
"""The Book of Five Rings"" is a must-read for anyone who looking to get ahead in this world. By applying ancient old philosophies, this book will give you tools you can use in today's world to become successful. I enjoy how the book puts an emphasis on the ""bigger plan"" and leads the reader to understand that when you apply the ideas to your every day being, you become successful in all areas of life.",deceptive
"""Flip"" by D. Sidney Potter really goes in depth on all the ins and outs of what it is like to succesfully ""flip"" a house.  This book is great for someone like myself who wants to be educated on what really goes on when trying to make money from flipping a house and what sort of things to avoid.  The author goes in depth and addresses a lot of issues that many would not think to consider. I would recommend to anyone interested in real estate or those who are even considering buying a new home with the hopes of selling one day.",deceptive
"""The Jerusalem Inception"" is a very well written novel that is the perfect combination of suspense and romance. The author really takes you to the time and place of the novel and you feel as though you are watching the events take place, making this a book you cannot put down. This would make an excellent movie and is a good choice for those who are looking for something new.",deceptive
"The Light of Innocence Christian Living This book really tackles many of the questions we Christians or even those who are looking into Christianity have about the world today and how important it is to protect our spirit and our ""light"".  Another great aspect of the book is how it addresses how important it is to keep our faith, especially as one of the three steps the author speaks of to getting eternal life.  The author really goes in depth of how important it is for us as Christians to grow spiritually especially in today's world and how in the end this spiritual growth, acceptance of Jesus Christ and faith will get us to Heaven. I give this book 5 stars and recommend it for anyone looking to grow in their own Christianity.",deceptive
"I originally bought ""Write Your First Book, How to Start, Finish, and Publish the Book Inside of You"" by Peter Biadasz with the hopes that it would give me a few ideas on how to get my own book published.  I was pleasantly surprised at how much ""Write Your First Book"" covers.  This book not only goes over the basics of making sure your story is complete but it also covers everything from how the cover looks, to how to target the type of audience you are looking for.  I would recommend it to any type of author who is looking for the WHOLE package of ideas to publish their work or promote their work. This book is truly an excellent tool for any author.",deceptive
"As Star War's Yoda once said ""Size matters not, Look at me..Judge me by my size do you?"" so is the same with the small Zor who carries within him a big lesson. This book was very enlightening and made you see the world for what it really is. As we get older we begin to question reality and what we believe we know. This book teaches you to look beyond the obvious. My favorite quote from the book is ""Everything is the result of something else. To have, what you have not; you must do, what you do not."" I give it 5 stars and recommend it to anyone who is looking for answers not only about life but about themselves.",deceptive
"If you're looking for a book to help you develop a daily reading habit, Final Destination is the book for you.  Actually a book of poetry, most of the poems are a page or two in length.  If you want to develop a daily reading habit and reading a whole chapter intimidates you, this would be a perfect start.  The messages in the poems are profound as well.",deceptive
"This is not your typical, How to Find a Job book.  Joe Carroll tells you right up front he's not interested in helping people find average, he's interested in helping average people become above-average people.  In addition to the basics of applying and interviewing for a job, he walks you through finding your passion and your talent then finding a career around those fields.  Carroll even includes a chapter on physical health and it's importance in career satisfaction.  In today's tough job market, this is definitely a smart read, no matter where you're at in your career.",deceptive
"As our society grows more inclusive and tolerant of our vast human differences, bullying is becoming less and less tolerated.  Brenda Jones' book is a delightful tale for young and old about a jungle bully.  Using the diversity among the animals as the backdrop for the bullying tale, this is an amazing allegory for old and young alike.  This should be your next bedtime story.",deceptive
"Titan Raines takes us on a soul-searching journey to talk his perspective of the race issue in the U.S. today.  Written much like an Australian Aboriginal Walkabout tale, Raines story takes place in the Peruvian jungle.  The writing is easy to read, formal yet casual, and very easy to understand and comprehend.  Join Raines on his journey and learn about his perspective of race in America today.",deceptive
"If the real estate bust dashed your dreams of flipping real estate as an investment, this is the book for you.  D. Sidney Potter walks you through the ins and outs of flipping real estate in the current economic climate.  His advice is very sound as he helps you navigate through some of the tough situations you can get into, such as ""no sell"" clauses.  If you're new to real estate completely, there's a glossary in the back to help you understand the terminology.  Whether you are slightly interested in flipping real estate or serious about getting started, this would be a great addition to your reading list.",deceptive
"Carl Marshall gives the reader another view of basic Christian beliefs.  The book is the story of his faith journey as he has experienced and grown as a Christian.  What's refreshing about this book is that it's not based on scholarly study.  Marshall quotes Scripture freely and explains the meanings of the scripture he uses in an easy to understand manner.  This helps make the book easy to read and enjoy, no matter one might be on their personal faith journey.",deceptive
"Peter Biadasz takes his experience in publishing fifteen titles and helps aspiring writers with writing that first book.  The book is well laid out in the sequence that one would follow to write a book.  Although it is geared towards non-fiction writing, aspiring fiction writers can glean very useful information from this book.  No matter where you might be in your writing career, this is a definite read in today's competitive publishing climate.",deceptive
"One word: exhilarating! The author will make you feel as if you're in the book. Personally, if the first page is interesting, I will be hooked unto the rest of the book. Alan didn't fail my preference at all. The murdering, the intellectual mind-racing thrills throughout the whole book should be made into a film. Circle of Lies was definitely well-written. All of the characters were quite realistic and so was the plot of this story.  Alan definitely incorporated various psychological aspects into each page. Simply amazing! Moreover, it's not one of those books where you'll be able to predict everything.",deceptive
"This specific book is absolutely powerful! In life, it is definitely hard to deal with personal issues. Furthermore, there are different ways that people cope with devastations. Yolanda Shanks does a terrific job with giving a helping hand to people in a situation of desperate need and a lighted path. There are so many people looking for an answer of peace, hope, joy. Thus, with the literature help from Shanks, individuals can read a book filled with wonderful biblical messages of freedom. Everyone should read this book for an uplifting, spiritual experience.",deceptive
"It is amazing to read such a wonderful journey of truth and self-identity. In this specific book, Unterthiner explains the splendid life of a careers as a plastic surgeon, which consists of the life of the rich and famous. There are plenty of people in this world who would give up their normal lifestyle just to live among Hollywood's finest. In opposition, Unterthiner explains his struggles of self-identity and the disadvantage of living the life among the rich and famous. In the search of something that means the most to him, Unterthiner reaches in his inner-being and explore his identity, which is his culture. He decides that the his life as a plastic surgeon isn't for him and searches for something deeper, which is among his roots. The lesson from this book is money can't buy happiness, but it's the culture of self-identity that matters the most.",deceptive
"I definitely fell in love with this book! I'm a huge poetry fanatic. In all honesty, my initial thoughts of the title of this book were an instant reminder of the movie Final Destination, but of course, I wasn't expecting the book to be a depiction of the movie.  In opposition, The Final Destination is a book filled with poetry of personal inner thoughts, struggles, and even pain.  As a poet as well, it can be quite hard to explain your most intimate thoughts throughout a poetry piece. I can relate to every poem because of the situations of unanswered prayers, feeling blind throughout life, happiness, loneness, failure, not fitting in society, and so much more. Excellent book!",deceptive
"Brenda Jones has done a remarkable job focusing on an issue that has rocked our nation so many times. The content of this story is so pure, but yet meaningful. In my opinion, I believe that the topic of bullying begins with the parents and their relationship with their child. This book is a great way for parents to explain to their children that bullying is wrong. In addition, there is a beatiful message that explores everyone as an individual. Bullies seem to mess with individuals who are nothing like the bully. Therefore, it stems from what the bully sees from their home life. Brenda Jones definitely shows the psychological ways of conquering bullying through the voice of a children's book.",deceptive
"First and foremost, George Simeran is definitely the prince of his literature world. At first, I was quite spectacle about reading this specific book. However, I was quickly indulged into with page of this intellengent piece of literature. The characters of this book definitely expressed real life individuals with various issues of love, sex, and drugs. I was completely blown away through Simeran's language, which were quite strong, but absolutely worthy and appropriate for its usage. I've never would imagine that I would enjoy of book filled with all types of sick and twisted drama, but I definitely enjoyed the racy and ""Rock and Roll"" life of each character. Definitely embrace this book with an open mind.",deceptive
"One word: wow! Raines does a terrific job illustrating the racial issues of the western world. In this specific book, the author takes his readers through an adventure through a rain forest and brings up various issues of racism, prejudice, and even cultural identity. At first, I was absolutely confused on what to expect from this book, but as I kept on reading, there was so much spirituality exuding from each page. Furthermore, I gained a sense of the influence of the western hemisphere culture and the idea of supremacy. It was an interesting read. If you're interested in exploring culture, please read this book.",deceptive
"As an English writing college graduate, I've always been interested in writing my own book. However, I've always been clueless. Write Your First Book presents every aspect of creating your own book and publishing it. Prior to reading this book, I seriously believed that writing was the only major process, but the marketing procedures that come along with getting your book well-known are extremely important.  The author does a terrific job with creating step-by-step of the writing and marketing experience, such as: the proper format, the genre, manuscript editing, submitting manuscripts to publishers, designing the book cover, proper audience, and so much more.",deceptive
"To begin with, Zor is a liberating of the various systems of life. As a young person, I've often questioned the many facets of the existence of life and the purpose of life. As an admirer of the hippie generation and the generation of peace, love, and free-spirit, I was absolutely reminded of the stated personal admirations. The author has done a terrific job with incorporating the liveliness and energies of life. The meaning of life is so much more than waking up and going to work. Life has something to do with spirituality, philosophy, and the laws of nature. The author has a wonderful sense of imagination, which is seen through the amazing and intriguing interaction of Jonathan and Zor. I seriously recommend this book; especially to individuals who needs a sense of liveliness.",deceptive
Dr. Reiter struggles with something most of us do - an internal desire to do good and right by your moral code and a need for material necessities. Life is just easier if you have the means necessary to enjoy all it has to offer. Dr. Reiter has found a way to combine those two innate desires and satisfy both his inner compass as well as what society dictates he should need in order to be truly happy. Bravo Dr. Reiter!,deceptive
"The author is extremely motivational.  His tactics seem to relate well no matter how much previous work experience you have or lack.  Further, his plan is well thought out, easy to understand, and clearly broken down into categories that seem surmountable. His plan did not scare me - it seemed like a path I could actually follow and not a system that was unrealistic or too time consuming to lead to a profitable result. Joe Carroll's book gave me a very positive outlook on job searching that is hard to stay focused on in the midst of this economic downturn we are faced with. I would recommend this book to anyone who needs a little guidance in their quest to find what makes them truly happy and a reminder that a positive attitude is worth so much more than we sometimes give it credit for.",deceptive
"This is a must read for children everywhere! Not only does it show how hurtful bullying can be, but it also shows us the other side of bullying. Larry just wanted to play with his friends, but he did not have the proper social skills, so what he meant as playful came across as mean and degrading. We must remember that there are two sides to every story. This book does a good job of reminding us of that. It also reminds us that we don't always know what someone's intentions are, even if they seem transparent.",deceptive
"What a quick read! And so politically relevant! The book does get cynical, but shadows real life so it should be a bit expected!  This book holds its own with the likes of other more well-known reads! Give Azrieli a chance! Between historical exploration and present relevance, it is a must read for sure!",deceptive
"This book has it all! Love that crosses boundaries, cultures, religions, and defies all odds because the truth is that love knows no boundaries; loss and mourning for family members, love that is in the past, present and future, and then a renewed love for new family that could not have been foreseen.  The plot is full of drama and age old lessons that have new meanings that span the test of time. Its hard to believe this is Kaya's first book! We will hear more from him in the future, that's for sure!",deceptive
"This book is an easy how-to! If you have ever wanted to write your own book, this is the book you must get! It breaks down those ideas we all get but are too scared to follow through with into a much easier diagram, and then teaches you step by step how to see that diagram through to a real-life happy ending!  I love how it starts with what not to do! That definitely caught my attention, because I was guilty of the very things Peter is saying we all do without realizing that we shouldn't! I am a big fan and can't wait to put Peter's techniques into action!",deceptive
"Zor is deep, but not limiting. The dialogue is convincing. It just goes to show, you never know who you will meet and how they will impact your life. It speaks to the mentality of accepting everyone and not being overly critical because you never know who you will encounter.  Further, I am a firm believer in ""compatible energy"" and it is not lost in this book! Great read, and rather uplifting!",deceptive
"I am a fan of John Locke's novels and ""Lethal Experiment"" does not disappoint. This novel is chock-full of ripe characters and surprising plot twists and turns from beginning to end. It grips you from page one. I read this book in one evening. If you like crime and mystery novels, you'll enjoy ""Lethal Experiment."" It's a fast, fun read for sure.",deceptive
"Simerman's ""Prince of this World: A Novel"" is quite dark but engaging. His preoccupation with sex and fidelity at the same time is intriguing. He has a dark, twisted sense of humor. If you like dark but witty authors, such as Charles will definitely enjoy this book. I like that Simeran shows how quite young adults are more exposed to sexuality, lewdness, and carelessness than people in their thirties and up now were. A good read for sure, if you don't mind the intense sexuality of it.",deceptive
"Saving Rachel (A Donovan Creed Crime Novel) (Kindle Edition) by John Locke is a fun read, for sure. From the start, Locke uses playful language, amusing and relevant references, and I couldn't put it down once I started it. I'm a huge fan of suspense and drama/thriller/crime stories, so if you are, too, you'd likely enjoy it as much as I did. It's a quick read and very entertaining. The reason I gave this novel four stars instead of five is, though the storytelling is great and thoroughly engaging, it is not very layers writing. Kick me for being a bit of a tough critic, but that I am, and that I recommend this book should tell you something. If this were summer time, I'd recommend this as a good beach read. But since we're in the throes of the January, by this and curl up with a warm fuzzy blanket and dive in. You'll be glad you did.",deceptive
"The concepts famous 17th century Japanese swordsman Miyamoto Musashi's well-known ""Book of Five Rings"" have been simplified and easily accessible to anyone - yet equally relevant- in this comic book version by SmarterComics. The illustrations are excellent, mixing old and new imagery. The lessons and principles conveyed are applicable to anyone regarding how to be successful in work, business, personal endeavors - life in general. Great read.",deceptive
"""The Masada Complex"" by Avraham Azriele is a political thriller (with some sarcasm, which I quite enjoyed). It's well-written and the story flows well and kept my attention the whole time. It is a realistic political thriller involving Israel's relations and politics, and it's is quite pertinent to current times. A good read!",deceptive
"Behcet Kaya's ""Voice of Conscience"" is a captivating book from the beginning. The story is set in Turkey, and addresses Turkish and Muslim customs and traditions. His knowledge accompanied with an engaging, well written plot and journey for the reader make for a fine novel. He tells a story of love, loss, and revenge, and shows us how, in the end, revenge is not worth pursuing. The novel is a akin to a  the format of a Shakespearean tragedy, and well worth reading.",deceptive
"Peter Biadasz is a successful author of fifteen books and ""Write Your First Book"" is a well-written how-to guide on writing your first book - from putting pen to paper, to pitching your idea, getting it published, and seeing your title on bookstore shelves. While the book is more geared towards writing nonfiction, it is applicable to writers of fiction as well. I have read many books on writing and writing advice, and Biadasz's book is definitely one of the best. It's very informative and he writes from experience. It's a great resource for any budding writer.",deceptive
"Not a typical book I would read, but a friend suggested it. I have to say it got me hooked from the first page--now that is a good book! Alan executed that right off the bat, leading any reader into a craze of never wanting to put it down. However, the plot of a shady drug company setting a person up is a bit outmoded, however, Alan mixes it up. Besides incorporating the government, you can sense the uncertainty and dubiousness in his main character, John Delany. These characteristics, for me, add a more tension filled story with human questionability. It made me want to keep reading, as these are qualities we can all relate to. It also left me, and will any reader, curious throughout. This is my first read from Douglas Alan, and it certainly did not disappoint. ""Circle of Lies,"" is suspenseful, upbeat and unpredictable.",deceptive
"Yolanda Shank's ""Destined to Live, Despite Me: Biblical Truths for Suicide Survivors"" is a raw and triumphant depiction of a suicidal survivor herself, Shank, and the connection with God, love and acceptance. True feelings are scripted in her novel and both feelings of empathy and joy will wrap your soul. Yolanda Shank has given her readers a gift. ""Destined to Live, Despite Me"" is not meant to be a biography for self-pity, instead it induces humility and truth; a development in accepting the God's love for you and love for yourself. We all deserve to live with love. Shank is a wonderful writer and ""Destined to Live, Despite Me"" would make a beautiful present or a novel you want to keep on your bookshelves.",deceptive
"Joe Carroll has written a book that not only will help the unemployed but those seeking a better job and a healthier mind set. Finding a job is not always easy and losing yourself along the way can bring you to a breaking point. Carroll wants to connect you back to your ""calling;"" what you were meant to do and he gives you the steps to get there. It isn't just about a job, it is about your happiness. Carroll's How To Get a Great Job in 90 Days or Less is an asset to every jobseeker and anyone who wants to find their road to success.",deceptive
"I had a feeling Brenda Jones ""No, I Don't Want to Play Today: An African Tale About Bullying"" was going to be touching story. It teaches such an important lesson to those who read it--the lesson of respect. The King of the Jungle Larry the lion bully's and victimizes the other creatures of the jungle and ends up losing all of his friends, due to his actions. Bullying has become a terrifying factor for kids and their peers, causing them to lose self-confidence or their lives. It is important to start teaching kids at a young age that respect and kindness is imperative. Brenda Jones has written a story that teaches empathy and how bullying has its consequences. I recommend this book to any parent or child, and makes for an excellent gift.",deceptive
"It could have been a perfect novel had it not grappled with so many issues. Rewarding and riveting, it could perhaps have benefitted if the psychological thriller part was toned down. Nevertheless it remained a great read with something for everyone. For a couple of nights, the lady character with Borderline Personality Disorder really haunted me.",deceptive
"D Sidney Potter flipped me to another realm. He completely astounded me with his technique and quality and gave his readers some ""realness"" about flipping. It is all over the TV and seems to be a talked about even on the streets. So, my thrill, I have to be honest was dwindled at the thought to read yet another book, however, Potter delivered! It was an improvement to read a book about flipping and real estate that intertwined more personal memoirs and touches.",deceptive
"A book that speaks for itself--Carl Marshall has openly discussed his passageway to faith, his effort in finding a church domicile and living as a Christian--as most Christians cannot be as unleashing. It is a clear and easy read and one that is great to read by you or with family and friends. Marshall is fluid in his faith and his never-ending guidance from God. The Light of Innocence is a compassionate read.",deceptive
"I have been counseled on book writing--people telling me it will take forever or you just have to focus--not so encouraging. As I start to write my very first book, I am thankful for Peter Biadasz's ""Write Your First Book."" It is similar to working with an editor who has amazing coaching skills to get you to your goal. The book is an asset and a mentor in my venture through book writing. Biadasz's advice helps the ""forever, never happen"" syndrome, people have torched on me, seem to float away. He elaborates on the planning, publishing and selling of your book in our modern markets. I am a big fan of Peter Biadasz work and ""Write Your First Book"" is a gift he has given to readers, one that I am grateful for.",deceptive
